identifier,asset_type,instruction,eligible_for_bounty,eligible_for_submission,availability_requirement,confidentiality_requirement,integrity_requirement,max_severity,system_tags,created_at,updated_at
app.iciparisxl.lu,URL,This is the API server of the ICI Paris XL mobile app in Luxembourg,true,true,high,high,high,critical,,2023-03-14 15:23:12 UTC,2023-07-13 09:22:16 UTC
api.watsons.com.ph,URL,This is the API server for the www.watsons.com.ph website,true,true,high,high,high,critical,,2023-03-17 10:10:21 UTC,2024-09-12 13:25:24 UTC
www.drogas.lt,URL,"This is our Lithuanian online retail platform. If you are testing functionality that requires you to be authenticated, please ensure you register with your @wearehackerone.com email address.",true,true,,,,critical,,2024-12-12 14:24:24 UTC,2024-12-12 14:25:16 UTC
ThePerfumeShop.App.Android,GOOGLE_PLAY_APP_ID,"This is our The Perfume Shop (Android) app. Please make sure to consult our policy page to see which items are out of scope for mobile apps.

App Link
https://play.google.com/store/apps/details?id=com.theperfumeshop.customer",true,true,high,high,high,critical,,2023-03-14 16:20:27 UTC,2023-07-13 09:22:22 UTC
api.watsons.vn,URL,This is the API server for the www.watsons.vn website,true,true,,,,critical,,2024-09-12 09:07:24 UTC,2024-09-12 09:07:42 UTC
app.marionnaud.cz,URL,This is the API server of the Marionnaud mobile app in Czech Republic,true,true,high,high,high,critical,,2023-03-14 15:38:45 UTC,2023-07-13 09:22:17 UTC
api.fortress.com.hk,URL,This is our API Server for our Fortress website (www.fortress.com.hk),true,true,,,,critical,,2024-08-29 12:09:55 UTC,2024-09-12 08:22:18 UTC
api.watsons.co.th,URL,This is the API server for the www.watsons.co.th website,true,true,high,high,high,critical,,2023-03-17 10:21:22 UTC,2024-09-12 08:40:17 UTC
https://www.theperfumeshop.com/ie/blog/,URL,This is our Blog section of the website that runs on Wordpress.,false,true,medium,medium,medium,medium,Wordpress,2023-03-14 15:14:04 UTC,2025-01-28 08:45:26 UTC
app.watsons.com.tr,URL,This hostname is used for the Watsons Turkey mobile app,true,true,high,high,high,critical,,2023-03-27 08:46:10 UTC,2024-09-12 08:06:36 UTC
https://www.watsons.com.my/blog,URL,,false,false,low,low,low,medium,Wordpress,2023-10-11 08:58:25 UTC,2023-10-11 08:58:25 UTC
media.drogas.lt,URL,This subdomain is used to store static content for the www.drogas.lt e-commerce website,true,true,,,,critical,,2024-12-12 14:24:24 UTC,2024-12-12 14:25:29 UTC
https://www.kruidvat.nl/persoonlijk,URL,,true,true,low,low,low,medium,,2023-03-14 13:58:12 UTC,2023-10-11 09:23:05 UTC
Watsons TH (subdomains),OTHER,"This asset is specifically for Watsons TH's subdomain assets.
Please note that for subdomains (tier 3), will only handle reports that have a high or critical severity.

In Scope
=========
>*.watsons.co.th",true,true,medium,medium,medium,critical,,2023-03-27 09:41:48 UTC,2024-09-12 08:11:23 UTC
www.moneyback.com.hk,URL,"MoneyBack has turned shopping into fantastic rewards for families across Hong Kong. If you are testing a functionality that requires you to be authenticated, please ensure you register with your @wearehackerone.com email address.",true,true,high,high,high,critical,,2023-03-15 16:18:36 UTC,2023-07-13 09:22:32 UTC
www.watsons.com.tw,URL,"This is our online retail platform for health and beauty products in Taiwan. 
If you are testing a functionality that requires you to be authenticated, please ensure you register with your @wearehackerone.com email address.",true,true,high,high,high,critical,,2023-03-17 10:10:20 UTC,2024-09-12 13:24:05 UTC
media.iciparisxl.nl,URL,This subdomain is used to store static content for the www.iciparisxl.nl e-commerce website,true,true,,,,critical,,2024-08-29 07:46:57 UTC,2024-09-12 07:54:02 UTC
media.marionnaud.ch,URL,This subdomain is used to store static content for the www.marionnaud.ch e-commerce website.,true,true,,,,critical,,2024-09-25 07:57:56 UTC,2024-09-25 07:58:40 UTC
ThePerfumeShop.App.iOS,APPLE_STORE_APP_ID,"This is our The Perfume Shop (iOS) app. Please make sure to consult our policy page to see which items are out of scope for mobile apps.

Appstore Link
https://apps.apple.com/gb/app/the-perfume-shop/id1202206665",true,true,high,high,high,critical,,2023-03-14 16:20:27 UTC,2023-07-13 09:22:22 UTC
medias.watsons.com.my,URL,This subdomain is used to store static content for the www.watsons.com.my e-commerce website.,true,true,,,,critical,,2024-08-29 11:29:50 UTC,2024-09-12 08:47:56 UTC
https://www.marionnaud.it/m-life/,URL,This is our Blog section of the website that runs on Wordpress.,false,true,medium,medium,medium,critical,,2023-03-14 15:49:48 UTC,2023-07-13 09:22:21 UTC
app.iciparisxl.nl,URL,This is the API server of the ICI Paris XL mobile app in the Netherlands,true,true,high,high,high,critical,,2023-03-14 15:21:21 UTC,2023-07-13 09:22:15 UTC
app.marionnaud.sk,URL,This is the API server of the Marionnaud mobile app in Slovakia,true,true,high,high,high,critical,,2023-03-14 15:38:45 UTC,2023-07-13 09:22:17 UTC
api.watsons.com.tw,URL,This is the API server for the www.watsons.com.tw website,true,true,high,high,high,critical,,2023-03-17 10:10:20 UTC,2024-09-12 13:26:34 UTC
Superdrug.App.IOS,OTHER_IPA,"This is our Superdrug Mobile (IOS) app. Please make sure to consult our policy page to see which items are out of scope for mobile apps.

App link: https://apps.apple.com/gb/app/superdrug/id1267896687",true,true,high,high,high,critical,,2023-03-14 14:45:56 UTC,2023-07-13 09:22:14 UTC
 Watsons.TaiWan.Android,GOOGLE_PLAY_APP_ID,"This is our Watsons TaiWan Mobile (Android) app. Please make sure to consult our policy page to see which items are out of scope for mobile apps.

App Link
https://play.google.com/store/apps/details?id=tw.com.watsons.app",true,true,high,high,high,critical,,2023-03-17 05:30:05 UTC,2023-07-13 09:22:36 UTC
Drogas.Lietuva.Android,GOOGLE_PLAY_APP_ID,"This is our Drogas (Android) app in Lithuania. Please make sure to consult our policy page to see which items are out of scope for mobile apps.
App Link
https://play.google.com/store/apps/details?id=lt.drogas.consumer",true,true,,,,critical,,2024-12-12 14:24:24 UTC,2024-12-12 14:45:17 UTC
Watsons.Thailand.Android,GOOGLE_PLAY_APP_ID,"This is our Watsons Thailand Mobile (Android) app. Please make sure to consult our policy page to see which items are out of scope for mobile apps.

App Link
https://play.google.com/store/apps/details?id=com.mtelnet.watson.thailand",true,true,high,high,high,critical,,2023-03-17 05:30:06 UTC,2023-07-13 09:22:37 UTC
Watsons TR (subdomains),OTHER,"This asset is specifically for Watsons TR' subdomain assets.
Please note that for subdomains (tier 3), will only handle reports that have a high or critical severity.

In scope
=====================
>\*.watsons.com.tr",true,true,medium,medium,medium,critical,,2023-03-27 09:35:39 UTC,2024-09-12 08:08:22 UTC
PNS.HongKong.iOS,APPLE_STORE_APP_ID,"This is our PNS Mobile (iOS) app. Please make sure to consult our policy page to see which items are out of scope for mobile apps.

App Link
https://apps.apple.com/hk/app/parknshop/id840837558",true,true,high,high,high,critical,,2023-03-15 16:10:51 UTC,2023-07-13 09:22:31 UTC
Watsons.Singapore.IOS,APPLE_STORE_APP_ID,"This is our Watsons Singapore Mobile (IOS) app. Please make sure to consult our policy page to see which items are out of scope for mobile apps.
App Link
https://apps.apple.com/hk/app/watsons-sg-the-official-app/id449412168",true,true,high,high,high,critical,,2023-03-17 02:17:38 UTC,2023-07-13 09:22:35 UTC
Watsons.Philippines.Android,GOOGLE_PLAY_APP_ID,"This is our Watsons Philippines Mobile (Android) app. Please make sure to consult our policy page to see which items are out of scope for mobile apps.

App Link
https://play.google.com/store/apps/details?id=com.mtelnet.watson.ph",true,true,high,high,high,critical,,2023-03-17 05:30:06 UTC,2023-07-13 09:22:36 UTC
media.superdrug.com,URL,This subdomain is used to store static content for the www.superdrug.com e-commerce website,true,true,,,,critical,,2024-08-29 07:35:58 UTC,2024-09-12 07:43:50 UTC
api.watsons.com.hk,URL,This is the API server for the www.watsons.com.hk website,true,true,high,high,high,critical,,2023-03-17 10:10:21 UTC,2024-09-12 13:25:52 UTC
medias.watsons.com.ph,URL,This subdomain is used to store static content for the www.watsons.com.ph e-commerce website.,true,true,,,,critical,,2024-08-29 11:36:50 UTC,2024-09-12 13:51:07 UTC
